"case_id","case_title","court_type","jurisdiction","case_year","resolution_date","category_of_case","case_keywords","number_of_evidences","outcome_in_favor_of","outcome_in_court","main_issue"
"87","Axis Bank Limited vs Padma Ashok Bhatt And 14 Ors","High Court","Bombay","2018","2018-10-26 00:00:00","Civil Procedure Code, Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act, 2002","Securitisation Act, Bar of Suit, Mortgage, Flat Purchasers","High","Against Respondent","Appeal Allowed","Applicability of Section 34 of Securitisation Act to bar suits against secured creditor"
"88","Shamsons Polymers Pvt. Limited vs Tamil Nadu Textbook And Educational ...","High Court","Madras","2018","2018-11-22 00:00:00","Administrative Law, Contract Law","Government Tender, Technical Bid Evaluation, Public Procurement","Low","Respondent","Writ Petition Dismissed","Validity of Tender Process and Evaluation of Technical Bids"
"89","City Industrial And Development ... vs Sunil Ratanlal Jethliya And Anr","High Court","Bombay","2018","2018-02-13 00:00:00","Land Acquisition","Land Acquisition, Compensation, Market Value","High","Against Respondent","Appeals Dismissed","Compensation for acquired land"
"90","Snehalbhai Jaykantbhai Shah vs The New India Industries Ltd.","High Court","Gujarat","2018","2018-06-12 00:00:00","Contract Law, Corporate Law","Specific Performance, MOU, Companies Act","Low","Respondent","Appeal Dismissed","Validity of MOU and Specific Performance"
"91","State Of Chhattisgarh vs M/S Shobha Enterprises","High Court","Chhattisgarh","2019","2019-01-07 00:00:00","Taxation Dispute","VAT, minor forest produce, tendu leaves","Medium","Against Respondent","Appeal allowed, impugned order set aside","Appeal allowed, impugned order set aside"
"92","Pioneer Urban Land And Infrastructure vs Union Of India","Supreme Court","India","2019","2019-08-09 00:00:00","Insolvency and Bankruptcy","IBC, financial creditors, real estate","Low","Respondent","Amendment Act constitutional, cases dismissed","Amendment Act constitutional, cases dismissed"
"93","Bgs Sgs Soma Jv vs Nhpc Ltd.","Supreme Court","India","2019","2019-12-10 00:00:00","Arbitration","Seat of arbitration, Section 37","High","Against Respondent","New Delhi confirmed as seat of arbitration","New Delhi confirmed as seat of arbitration"
"94","Ambalal Sarabhai Enterprises Ltd. vs K.S. Infraspace Llp","Commercial Court","Vadodara","2019","2019-03-01 00:00:00","Commercial Dispute","MoU, immovable property, mortgage","Low","Respondent","Commercial Court jurisdiction rejected","Commercial Court jurisdiction rejected"
"95","Committee Of Creditors Of Essar Steel vs Satish Kumar Gupta","Supreme Court","NCLT Ahmedabad","2019","2019-11-15 00:00:00","Corporate Resolution","Resolution plan, Section 29-A","Low","Respondent","Resolution plan approved, appeals allowed","Resolution plan approved, appeals allowed"
"96","Satinder Singh Bhasin vs Government Of NCT Of Delhi","Supreme Court","Uttar Pradesh, Delhi","2019","2020-01-01 00:00:00","Bail, Criminal Case","Bail, FIRs, Economic Offences, CBI, Grand Venice Project, National Capital Region (NCR","High","Against Respondent","Bail granted","Bail granted"
"97","Union Of India vs M/S Associated Construction Co","High Court of Delhi","India","2019","2019-10-15 00:00:00","Arbitration and Conciliation","India, Delhi High Court, arbitration, construction, contract dispute, delay, damages, Section 34","low","Respondent","Appeal dismissed","Challenge to the Arbitral Award under Section 34 of the Arbitration and Conciliation Act, 1996"
"98","M/S Ritika Vegetable Oil Private ... vs M/S Deepak Vegpro Private Limited","High Court","Rajasthan","2019","2019-12-19 00:00:00","Trademark Infringement","Trademark infringement, passing off, injunction","High","Against Respondent ","Appeal allowed, injunction set aside","Similarity of trademarks causing confusion among consumers"
"99","Babasaheb Ambedkar Open University vs Abhinav Knowledge Services Private Limited","High Court","Gujarat","2019","2019-07-08 00:00:00","Contract Dispute","Arbitration, Res Judicata","High","Against Respondent ","Appeal maintainable, interim relief continued","Whether second arbitration proceedings are barred by res judicata due to prior award and agreement settlement"
"100","Bayer Intellectual Property GmbH And ... vs Symed Laboratories Ltd","High Court","Delhi","2019","2019-02-14 00:00:00","Contract Dispute","Patent, Arbitration, Res Judicata","High","Against Respondent ","Consent decree upheld","Whether second arbitration proceedings are barred by res judicata due to prior award and agreement settlement"
"101","Fenil Bharatbhai Shahh vs Authorized Officer Bank Of India","High Court","Gujarat","2019","2019-04-29 00:00:00","Civil","Securitisation Act, Civil Procedure Code, Jurisdiction of Civil Courts","Low","Respondent ","Appeal dismissed","Whether civil court has jurisdiction to entertain a suit challenging actions taken under the Securitisation Act"
"102","Usha Kakade vs Vistra Itcl (India) Ltd.(Formerly ...","High Court","Bombay","2019","2019-08-09 00:00:00","Civil","Arbitration, Execution of Decree, Maintainability of Appeal","Low","Respondent ","Appeals dismissed","Maintainability of appeals against an order passed in execution proceedings under the Arbitration and Conciliation Act, 1996"
"103","Sanjay Kakade vs Vistra Itcl (India) Ltd.(Formerly ...","High Court","Bombay","2019","2019-08-09 00:00:00","Civil","Arbitration, Execution of Decree, Maintainability of Appeal","Low","Respondent ","Appeals dismissed","Maintainability of appeals against an order passed in execution proceedings under the Arbitration and Conciliation Act, 1996"
"104","State Board Of Technical Education vs Marverick Consultancy Pvt. Limited","High Court","Jharkhand","2019","2019-09-16 00:00:00","Civil","Arbitration, Public Policy, Section 34 of the Arbitration and Conciliation Act, 1996","Low","Respondent ","Appeal dismissed","Maintainability of the appeal under Section 34 of the Arbitration and Conciliation Act, 1996 and whether the arbitral award is against public policy"
"105","Shri Balaji Industrial Products ... vs Aia Engineering Limited","High Court","Rajasthan","2019","2019-12-04 00:00:00","Civil","Patents Act, 1970, Section 151 CPC, Section 64 CPC","Low","Respondent ","Stay Application dismissed","Maintainability of the stay application challenging the order passed under Section 151 CPC and Section 64 of the Patents Act, 1970"
"106","Union Of India vs M/S Parnika Commercial & Estates Pvt Ltd","High Court","Delhi","2019","2019-02-19 00:00:00","Contract","Arbitration, Limitation Act, Contratct Termination","High","Against Respondent ","Appeal dismissed","Delay in filing petition under Section 34 of the Arbitration and Conciliation Act, 1996"
"107","Usha Kakade vs Vistra Itcl (India) Ltd.(Formerly ...","High Court","Bombay","2019","2019-08-09 00:00:00","Civil","Arbitration, Execution of Decree, Maintainability of Appeal","Low","Respondent ","Appeals dismissed","Maintainability of appeals against an order passed in execution proceedings under the Arbitration and Conciliation Act, 1996"
"108","M/S A N S Infrastructure Pvt Ltd vs State Of Rajasthan","Rajasthan High Court","Rajasthan","2019","2019-08-22 00:00:00","Civil Miscellaneous Appeal","Concession Agreement, Arbitration, Compensation","","","Partially upheld Arbitrator's award, modified in certain aspects","Interpretation of Concession Agreement and compensation calculation"
"109","State Of Rajasthan Thr Chief Er vs M/S A N S Infrastructure Pvt Ltd","Rajasthan High Court","Rajasthan","2019","2019-08-22 00:00:00","Civil Miscellaneous Appeal","Concession Agreement, Arbitration, Compensation","High","Against Respondent ","Award set aside","Interpretation of Concession Agreement and compensation calculation"
"110","Brahmos Aerospace Pvt Ltd vs FIIT Jee Limited And Anr.","Delhi High Court","Delhi","2019","25.02.2019","Appeal from Order","Trademark Infringement, Rectification of Register","low","Respondent ","Appeal Dismissed","Maintainability of Appeal, Stay of Proceedings under Section 124 of Trade Marks Act, 1999"
"111","Rajkumar Batra vs Smt. Usha Batra","Allahabad High Court","Uttar Pradesh","2019","2019-11-14 00:00:00","Writ Petition","Partnership Dispute, Interim Relief, Arbitration","High","Against Respondent ","Petition Disposed","Interim Relief for Preservation of Partnership Assets"
"112","Hindustan Zinc Limited (H.Z.L.) vs Ajmer Vidyut Vitran Nigam Limited","Supreme Court","India","2019","2019-12-04 00:00:00","Civil Appeal","Electricity Act, 2003, Arbitration, Unscheduled Interchange Charges","High","Against Respondent ","Appeal Allowed","Scope of Arbitration under Electricity Act, 2003"
"113","Hindustan Steel Works Ltd. (H S C L) vs M/S S. Kumars Associates","Chattisgarh High Court","Chhattisgarh","2019","2019-06-25 00:00:00","Writ Petition","Commercial Court Order, Additional Evidence, Order 11 Rule 1(10) CPC","High","Against Respondent ","Impugned Order Set Aside","Permissibility of Additional Evidence in Commercial Court"
"114","Himachal Sorang Power Private Limited & ... vs Ncc Infrastructure Holdings Limited","Delhi High Court","Delhi","2019","2019-03-16 00:00:00","Commercial Suit","Arbitration, Injunction, Res Judicata, Anti-Suit Injunction","Low","Respondent ","Application Dismissed","Maintainability of Second Arbitration, Anti-Suit Injunction"
"115","M/S Fine Footwear Private Limited vs Skechers U.S.A. Inc.","Karnataka High Court","Karnataka","2019","2019-07-15 00:00:00","Writ Petition","Civil Suit, Injunction, Jurisdiction","Low","Respondent ","Writ Petition Dismissed","Challenging Interim Injunction Order"
"116","Gurcharan Singh Sahney & Ors. vs Harpreet Singh Chhabra & Anr.","Delhi High Court","Delhi","2019","2019-02-25 00:00:00","Civil Suit","Arbitration, Arbitration Clause, Maintainability","low","Respondent ","Suit Dismissed","Maintainability of Suit in light of ongoing arbitration proceedings"
"117","M/S Heavy Engineering Corporation Ltd vs The State Of Jharkhand","Jharkhand High Court","Jharkhand","2019","2019-10-22 00:00:00","Writ Petition","Micro, Small and Medium Enterprises Development Act, Execution of Award","low","Respondent ","Writ Petition Dismissed","Maintainability of Writ Petition & Premature Execution of Award"
"118","Sunstar Overseas Ltd vs Grace Agrifields Pvt Ltd","Gujarat High Court","Gujarat","2019","2019-10-23 00:00:00","First Appeal","Arbitration, Condonation of Delay, Section 34 of Arbitration Act","low","Respondent ","Appeal Dismissed","Condonation of Delay in Filing Objections under Section 34 of Arbitration Act"
"119","Kanchanganga Realtors Pvt Ltd., ... vs M/S Monarch Infrastructure Developers ...","Bombay High Court","Maharashtra","2019","2019-02-08 00:00:00","Writ Petition","Commercial Courts Act, 2015, Transfer of Suit, Commercial Dispute","HIgh","Against Respondent ","Writ Petition Allowed","Transfer of Suit to Commercial Court"
"120","Giriraj Garg vs Coal India Ltd.","Supreme Court of India","India","2019","2019-02-15 00:00:00","Civil Appeal","Arbitration, Contract, E-auction","","","In favour of Appellant","Whether arbitration clause in 2007 Scheme incorporated in sale orders"
"121","Centrient Pharmaceuticals India Pvt. ... vs Hindustan Antibiotics Ltd","High Court","Bombay High Court","2019","2019-07-31 00:00:00","Arbitration, Execution of Award","Section 9, Section 34, Arbitration and Conciliation Act, 1996","High","Against Respondent","Dismissed","Availability of Interim Relief Under Section 9 During Pendency of Section 34 Proceedings"
"122","P.T.C. Techno Pvt. Ltd. vs Samsung India Electronics Pvt. Ltd.","High Court","Allahabad High Court","2019","2019-02-26 00:00:00","Arbitration, Corporate Law","Section 34, Arbitration and Conciliation Act, 1996, Corporate Identity","High","-","Pending","Jurisdiction of the Court to entertain a Section 34 Application against a Corporate Body"
"123","Dwarika Projects Ltd. vs Superintending Engineer, Karnal, Pwd","High Court","Delhi High Court","2019","2019-05-10 00:00:00","Arbitration, Jurisdiction","Section 34, Arbitration and Conciliation Act, 1996, Jurisdiction of Court","High"," Respondent","Dismissed","Jurisdiction of Delhi High Court to entertain a Section 34 Application"
"124","M/S. Gujarat Fluorochemicals Limited vs Vestas Wind Technology India Private ...","High Court","Bombay High Court","2019","2019-04-01 00:00:00","Contract Dispute, Arbitration","Wind Energy, Contract Breach, Damages","High","Respondent ","Dismissed","Validity of Arbitral Tribunal's Award, Quantum of Damages"
"125","Mercator Oil And Gas Limited vs Ongc Limited And Anr","High Court","Bombay High Court","2019","2019-06-03 00:00:00","Contract Dispute, Arbitration","Bank Guarantee, Contract Breach, Interim Relief","High"," Respondent ","Dismissed","Enforcing Bank Guarantees, Interim Relief"
"126","Ashok Karnwal And Another vs State Of U.P.Through Secy. Housing And ...","High Court","Allahabad High Court","2019","2019-05-28 00:00:00","Land Use, Building Regulations, Education","Unauthorized Construction, School, Zoning Regulations","High","Respondent ","Dismissed","Validity of demolition order for unauthorized school construction"
"127","Accord Advertising Pvt. Ltd vs Airports Director","High Court","Calcutta","2019","2019-07-31 00:00:00","Contract Dispute, Arbitration","Interim Order, Security Deposit","High"," Respondent ","Dismissed","Modification of Interim Order"
"128","Mercator Oil And Gas Ltd. And Another vs Oil And Natural Gas Corporation Ltd. And ...","High Court","Bombay High Court","2019","2019-06-03 00:00:00","Civil","Arbitration, Contract, Bank Guarantee","High","Respondent","Against Respondent","Enforcement of Bank Guarantees"
"129","Haryana Containers Limited Thru Chaula ... vs Ks Infraspace Llp Thru Ketan Bhailal ...","High Court","Gujarat","2019","2019-08-30 00:00:00","Civil","Real Estate, Contract, Specific Performance","High","Respondent","Appeal Dismissed","Specific Performance of Memorandum of Understanding/Agreement to Sell"
"130","Aslam Ismail Khan Deshmukh vs Asap Fluids Pvt. Ltd. And Another","High Court","Bombay","2019","2019-02-22 00:00:00","Civil","Arbitration, International Commercial Arbitration, Habitual Residence","High","Respondent","Applications Dismissed","Whether the arbitration is an international commercial arbitration"
"131","United India Ins. Co. Ltd vs Eastern Bulk Company Limited","High Court","Bombay","2019","2019-07-31 00:00:00","Civil","Arbitration, Jurisdiction of Court, Seat of Arbitration","High","Respondent","Petition Dismissed","Jurisdiction of the Court to entertain the arbitration petition"
"132","Hindustan Zinc Limited vs Glencore International A.G. Giag And ...","High Court","Rajasthan","2019","2019-05-02 00:00:00","Arbitration, Jurisdiction of Court, Seat of Arbitration","Recognition and Enforcement of Foreign Arbitral Award","Not Mentioned","Respondent","Application Dismissed","Maintainability of applications under Section 34 of the Arbitration and Conciliation Act"
"133","M/S Anik Industries Limited Thru.Its ... vs Idbi Bank","High Court","Madhya Pradesh","2019","2019-01-17 00:00:00","Civil","Banking, Corporate Guarantee, Lien","High","Against Respondent ","Petition Allowed","Validity of Bank's action in marking the petitioner's account as 'General Lien'"
"134","Jharkhand Education Project Council ... vs M/S. National Printer Proprietor Apex","High Court","Jharkhand","2019","2019-04-23 00:00:00","Civil","Contract, Public Law, Government Contracts","High","Respondent","Appeal Partly Allowed","Enforcement of contractual obligations by the State, Public Law Remedy, Interest on Delayed Payments"
"135","Mr. C.G. Gurucharan vs M/S. R.K. Estates","High Court","Karnataka","2019","2019-06-13 00:00:00","Civil","Arbitration, Appointment of Arbitrator","High","Against Respondent","Application Allowed","Appointment of a substitute arbitrator under Section 15(2) of the Arbitration and Conciliation Act, 1996"
"136","Tarapada Bhowmick vs The State Of West Bengal","High Court","Calcutta","2019","2019-11-05 00:00:00","Civil","Jurisdiction, Civil Procedure Code, Contract","High","Against Respondent","Application Dismissed","Territorial Jurisdiction of the Court to entertain a civil suit against the State"
"137","Indian Bank vs Oriental Insurance Company Ltd","High Court","Madras","2019","2019-01-29 00:00:00","Civil","Banker's Indemnity Insurance, Dishonesty","High (Both Parties Submitted Written Arguments & Oral Arguments Heard)","Against Respondent","Suit Decreed for Rs. 1,04,51,803/- without Interest and Costs","Dishonesty vs Negligence of Bank Employee for Insurance Claim Coverage"
"138","Betamax Limited vs State Trading Corporation","High Court","Karnataka","2019","2019-04-24 00:00:00","Civil","Arbitration, Jurisdiction","High","Respondent","Petitions Disposed of","Applicability of the Arbitration and Conciliation (Amendment) Act, 2015"
"139","M/S Bwi Educon Venture Pvt Ltd vs Auto Serve Equipment Pvt Ltd","High Court","Punjab-Haryana","2019","2019-04-09 00:00:00","Civil","Arbitration, Jurisdiction","High","Respondent","Revision Petition Dismissed","Jurisdiction of the Court to entertain an arbitration petition"
"140","Steer Engineering Private Limited vs Glaxosmithkline Consumer Healthcare ...","High Court","Karnataka","2019","2019-10-18 00:00:00","Civil","Intellectual Property, Copyright, Injunction","High","Respondent","Appeal Dismissed","Grant of Interim Injunction to Protect Intellectual Property Rights"
"141","M/S.Premier Transport Ltd vs M/S.Bgr Energy Systems Ltd","Madras High Court","Chennai","2019","2023-09-14 00:00:00","Contract, Commercial Dispute","Transportation Contract, Payment Dispute","High","Plaintiff (Partly)","Suit Partly Allowed","Recovery of Payment for Transportation Services & Compensation for Loss of Reputation"
"142","M/S Gem Builders Devlopers Pvt vs State And Ors","High Court","Rajasthan","2019","2019-08-08 00:00:00","Civil","Property Tax, Conversion Charges","High","Petitioner","Writ Petition Allowed","Validity of Levy of Conversion Charges on a Property Already Used for Commercial Purpose"
"143","The Secretary To Government vs Spl Infrastructure Private Limited","High Court","Madras","2019","2019-10-17 00:00:00","Contract Dispute","Arbitration Award, Delay in Construction","High (For some Bridges)","Partly in Favour of Respondent","Award Partially Set Aside","Validity of Claims due to Delay in Construction and Approval of Designs"
"144","M/S Himanchal Construction Company ... vs The State Of Jharkhand Represented ...","High Court","Jharkhand","2019","2019-10-14 00:00:00","Civil","Civil Procedure Code, Amendment of Pleadings","High","Petitioner","Writ Petition Allowed","Allowability of Amendment Petition under Order VI Rule 17 CPC"
"145","Galatea Ltd vs Diyora And Bhanderi Corporation","High Court","Gujarat","2019","2019-11-21 00:00:00","Civil","Patent Infringement, Evidence Admissibility","High","Against Respondent","Order Passed","Admissibility of Documents and Objections Raised During Evidence Recording"
"146","Ashok Kumar & Sons (Huf) vs Brahma City Private Ltd.","High Court","Delhi","2019","2019-04-09 00:00:00","Corporate Law","Company Winding Up, Jurisdiction of NCLT","High","Respondent","Appeal Dismissed","Jurisdiction of Company Court to entertain winding up petition"
"147","Sri Dilip Kumar Agarwal vs M/S. Tia Constructions","High Court","Telangana","2019","2019-12-20 00:00:00","Contract & Arbitration","Misuse of Power of Attorney, Partnership Dispute","High","Against Respondent","Appeal Allowed","Property alienation restrained  during arbitration"
"148","Dy. Commissioner Of Income Tax ... vs M/S U.P Forest Corporation, Lucknow","Income Tax Appellate Tribunal","Lucknow","2019","2019-07-26 00:00:00","Income Tax","Tax Exemption, Section 11, Section 12A","High","Against Respondent","Appeal Dismissed","Exemption under Section 11 of Income Tax Act"
"149","Arch Pharmalabs Ltd. vs Cce Belapur","CESTAT","Mumbai","2019","2019-05-31 00:00:00","Central Excise","Cenvat Credit, Exempted Goods","High","Against Respondent","Appeal Partly Allowed","Eligibility of Cenvat Credit on Exempted Goods"
"150","Rajeev Kumar Khare vs The New India Assurance Company Ltd.","Central Information Commission","New Delhi","2019","2019-04-04 00:00:00","Right to Information","Third Party Information, Commercial Confidentiality","High","Respondent","Appeal Dismissed","Disclosure of Third Party Information"
"151","M/S Hcl Learning Ltd vs M/S Delhi Public School","District Court","Delhi","2019","2019-12-09 00:00:00","Civil","Contractual Dispute, Recovery of Dues","High","Against Respondent","Suit Decreed","Recovery of Dues and Interest"
"152","Docland Service Ltd vs Anil Kumar","District Court","Delhi","2019","2019-12-13 00:00:00","Civil","Recovery of Dues, Employment Law","High","Respondent","Appeal Dismissed","Recovery of Dues and Benefits by Former Employee"
"153","Brahmani River Pellets Ltd. vs Kamachi Industries Ltd.","Supreme Court of India","New Delhi","2019","2019-07-25 00:00:00","Arbitration","Jurisdiction of Court to Appoint Arbitrator","High","Against Respondent","Appeal Allowed","Jurisdiction of Court to Appoint Arbitrator when Venue of Arbitration is Specified"
"154","M/S Mayavti Trading Pvt. Ltd. vs Pradyuat Bed Murman","Supreme Court of India","New Delhi","2019","2019-09-05 00:00:00","Arbitration","Jurisdiction of Court to Appoint Arbitrator","High","Respondent","Appeal Dismissed","Scope of Judicial Intervention under Section 11(6) of the Arbitration and Conciliation Act, 1996"
"155","Sandeep vs State Of Himachal Pradesh","High Court","Himachal Pradesh","2019","2019-01-11 00:00:00","Criminal","Bail under NDPS Act","High","Respondent","Bail Rejected","Grant of Bail in NDPS Case"
"156","M/S. S.E. Graphites Private Limited vs State Of Telangana","Supreme Court of India","New Delhi","2019","2019-07-10 00:00:00","Tax","VAT, Pre-deposit, Appeal Admissibility","High","Against Respondent","Interpretation of Section 19 and 31 of AP VAT Act, 2005",""
"157","Union Of India vs M.L. Gupta & Ors.","Delhi High Court","Delhi","2019","2019-06-07 00:00:00","Land Acquisition","Land Acquisition Compensation, Market Value, Circle Rate","High (Reference Court enhanced compensation)","Against Respondent (Land Acquisition Collector)","Appeal Allowed","Determination of market value for land acquisition - Can circle rate be the sole basis?"
"158","M/S. National Seeds Corpn. Ltd vs M.Madhusudhan Reddy & Anr","Supreme Court of India","India","2012","January 16, 2012","Consumer Law","Defective Seeds, Consumer Protection Act, Seeds Act, Arbitration","Estimated: Not Mentioned","Respondent","SC dismissed appeals, farmers can file consumer complaints for defective seeds","Remedies for farmers who purchased defective seeds"
"159","Haryana Urban Development Authority & ... vs Sandeep & Others","Punjab-Haryana High Court","Haryana","2012","April 25, 2012","Land Acquisition & Rehabilitation","Rehabilitation & Resettlement Policy, Oustees, Land Acquisition Act","Not Mentioned","Respondent","Court clarified policy for allotment of plots to oustees","Eligibility criteria and procedure for allotment of plots to oustees acquired for development"
"160","General Manager Finance Air India Ltd & ... vs Virender Singh","Delhi High Court","Delhi","2012","July 16, 2012","Right to Information","RTI Act, Information Disclosure, Commercial Interest","Not Mentioned","Respondent","Court ordered disclosure of information, subject to certain conditions","Disclosure of information under RTI Act, balancing commercial interests and public interest"
"161","Bharat Aluminium Co vs Kaiser Aluminium Technical ...","Supreme Court of India","India","2012","September 06, 2012","Arbitration","Arbitration Law, International Commercial Arbitration, Public Policy","Medium","Against Respondent","Part I of the Arbitration Act, 1996 applies only to arbitrations within India","Applicability of Part I of Arbitration Act to foreign awards like this"
"162","Catholic Syrian Bank Ltd vs Commissioner Of Income Tax, Thrissur","Supreme Court of India","India","2012","February 17, 2012","Tax","Income Tax, Bad Debts, Deduction, Rural Advances","Medium","Against Respondent","Deduction allowed for bad debts under Section 36(1)(vii)","Whether deduction under Section 36(1)(vii) is limited by the provision made under Section 36(1)(viia) for rural advances"
"163","State Of Gujarat & Ors vs Essar Oil Ltd. & Anr","Supreme Court of India","India","2012","January 17, 2012","Public Interest Litigation/ Environmental Law","Forest (Conservation) Act, Wildlife Protection Act, Sales Tax Incentive Scheme, Due Diligence, Restitution","High (Documentary)","Against Respondent","Appeal allowed, High Court judgement set aside","Whether Essar Oil Ltd. is entitled to sales tax incentive under the Government of Gujarat Capital Investment Incentive Scheme"
"164","Comm. Of Central Excise, New Delhi vs M/S. Connaught Plaza Rest.(P)Ltd.N.D","Supreme Court of India","India","2012","November 27, 2012","Tax","Central Excise, Classification of Goods, Soft Serve, Ice Cream","Medium","Respondent","Soft serve is classified under heading 21.05 as ""ice cream""","Whether ""soft serve"" is classifiable under heading 21.05 as ""ice cream"" or under heading 04.04 or 2108.91"
"165","Imperial Fastners Private Limi vs State Of Jharkhand & Ors","Jharkhand High Court","India","2012","April 3, 2012","Constitutional Law","Article 301, Article 304, Entry Tax","Medium","Against Respondent","Challenged the validity of Jharkhand Entry Tax Act, 2011","Whether Jharkhand Entry Tax Act, 2011 violates Article 301 of the Indian Constitution and is not saved by Article 304(a) and 304(b)"
"166","Cit vs Modi Revlon Pvt. Ltd.","Delhi High Court","India","2012","August 29, 2012","Tax","Income Tax, Royalty, Publicity Expenses, Consultancy Charges","Medium","Respondent","Royalty expenditure, publicity expenses, and consultancy charges allowed","Whether royalty payment, publicity expenses, and consultancy charges were allowable deductions"
"167","Sharp Business System vs The Commissioner Of Income Tax-Iii","Delhi High Court","India","2012","November 5, 2012","Tax","Income Tax, Non-compete Fee, Capital Expenditure, Revenue Expenditure","Medium","Against Respondent","Non-compete fee was held to be capital expenditure","Whether non-compete fee paid by the assessee was revenue or capital expenditure"
"168","Ksl & Industries Ltd vs National Textiles Corporation Ltd","Delhi High Court","India","2012","August 14, 2012","Contract Law","Breach of Contract, Specific Performance","Medium","Against Respondent","The termination of the MOU was held to be arbitrary","Whether the termination of the MOU was justified"
"169","Vinod Kumar vs State Of Punjab","Punjab-Haryana High Court","India","2012","June 1, 2012","Criminal Law","NDPS Act, Drug Possession, Sentence","Medium","Against Respondent","Bail granted","Whether the accused should be granted bail in NDPS cases involving small quantities of drugs"
"170","Commnr. Of Central Excise, Mumbai vs M/S. Fiat India (P) Ltd. & Anr","Supreme Court of India","India","2012","August 29, 2012","Tax","Central Excise, Valuation, Assessable Value","Medium","Respondent","Appeals allowed, order of the Tribunal set aside","Whether the sale of cars at a loss price to penetrate the market can be considered as ""extra commercial consideration"" and whether the valuation should be based on manufacturing cost and profit"
"171","M/S Hotel ... vs Asst.Commr.Of Commercial Taxes & Anr","Supreme Court of India","India","2012","February 3, 2012","Tax","Sales Tax, Duty Free Shops, Territorial Nexus","Medium","Against Respondent","Appeal allowed, assessment order quashed","Whether sales made at duty free shops within India are liable to sales tax"
"172","Punjab Urban Planning & Dev.Auth.& Ors vs Raghu Nath Gupta & Ors","Supreme Court of India","India","2012","August 16, 2012","Real Estate","Delayed Payment, Interest, Penalty, Allotment of Commercial Plot","Medium","Against Respondent","High Court judgment set aside, respondents liable to pay interest and penalty","Whether the respondents are liable to pay interest and penalty for delayed payment of installments for a commercial plot"
"173","Bombay Dyeing & Manufacturing Co. Ltd. vs. The Monitoring Committee & Ors.","Bombay High Court","India","2012","May 11, 2012","Real Estate","Development Control Regulations, Land Use, Mill Land Redevelopment","Medium","Respondent","Petition dismissed","Whether the company could redevelop its mill land without complying with land sharing regulations"
"174","Axios Navigation Co. Ltd vs Indian Oil Corporation Limited","Bombay High Court","India","2012","January 4, 2012","Commercial Law","Maritime Law, Arbitration, Charterparty, Demurrage","Medium","Against Respondent","Majority award modified, matter remanded","Whether the majority award rejecting the petitioner's claim due to delay in filing was correct"
"175","Maharashtra Chamber Of Housing ... vs Union Of India And Others","Bombay High Court","India","2012","January 20, 2012","Tax","Service Tax, Construction Services, Constitutional Validity","Medium","Respondent","Petitions dismissed","Constitutional validity of the Explanation inserted into clauses (zzq) and (zzzh) of Section 65(105) and of clause (zzzzu)"
"176","Areva T & D India Ltd vs The Commissioner Of Income Tax-Ii","Delhi High Court","India","2012","March 30, 2012","Tax","Income Tax, Depreciation, Goodwill, Business or Commercial Rights","Medium","Against Respondent","Depreciation allowed for business and commercial rights","Whether business and commercial rights acquired under a slump sale agreement are eligible for depreciation under Section 32(1)(ii) of the Income Tax Act"
"177","Cybernetics Network Pvt. Ltd. vs Bisquare Technologies Pvt. Ltd.","Delhi High Court","India","2012","February 24, 2012","Commercial Law","Arbitration, Breach of Contract, Technology Transfer","Medium","Against Respondent","Impugned Award upheld in part, remanded in part","Validity of the Arbitrator's award and the claims made by the parties"
"178","M/S Usha Stud And Agricultural Farms ... vs State Of Haryana And Others","Punjab-Haryana High Court","India","2012","January 27, 2012","Land Acquisition","Land Acquisition Act, 1894, Compensation, Acquisition Proceedings","Medium","Respondent","Petitions dismissed","Validity of the land acquisition proceedings and the compensation awarded"
"179","M/S.Sri Ragavendra Ad Lab vs The Senior Divisional Commercial Manager Southern Railway Divisional Commercial Manager's Office Chennai","Madras High Court","India","2012","December 4, 2012","Administrative Law","Municipal Corporation Act, Railway Act, Advertisement Hoardings","Medium","Respondent","Petitions dismissed","Whether the Corporation of Chennai can regulate hoardings erected on Railway premises by private parties"
"180","Commissioner Of Income Tax vs M/S.Arun Excello Foundations Pvt. Ltd","Madras High Court","India","2012","October 18, 2012","Tax","Income Tax Act, Section 80IB(10), Housing Project, Commercial Complex","Medium","Assessee","Appeal dismissed","Whether a housing project with a commercial complex qualifies for tax benefits under Section 80IB(10) of the Income Tax Act."
"181","M/S Bharat Petroleum Corporation Ltd vs The Sales Tax Officer","Orissa High Court","India","2012","March 16, 2012","Tax","Central Sales Tax Act, Inter-State Sales, Reassessment","Medium","Respondent","Petition dismissed","Validity of the reassessment order and the classification of the transactions as inter-state sales"
"182","M/S G.R. Developers vs The Commissioner Of Income Tax","Karnataka High Court","India","2012","February 29, 2012","Tax","Income Tax Act, Section 80IB(10), Housing Project, Commercial Complex","Medium","Against Respondent","Appeal dismissed in favor of the assessee","Whether a housing project with a commercial complex qualifies for tax benefits under Section 80IB(10) of the Income Tax Act."
